ID,Trip,Marker,City,Lat,Lng,DateLeft,Method,Reason,GPX
37,15,1,"Reno, NV",39.5272,-119.8219,40816,Fly,N/A,
38,16,1,"Portland, OR",45.52,-122.6819,40870,Fly,Touch Rugby,
39,16,1,"San Diego, CA",32.715,-117.1625,40874,Fly,N/A,
40,17,1,"Portland, OR",45.52,-122.6819,40870,Fly,Visit Home,
41,17,1,"Boston, MA",42.3601,-71.0589,40874,Fly,N/A,
42,18,1,"Portland, OR",45.52,-122.6819,40900,Fly,Visit Home and New Rears,
43,18,1,"Boston, MA",42.3601,-71.0589,40907,Fly,N/A,
44,18,1,"Washington, DC",38.9047,-77.0164,40909,Fly,N/A,
45,19,1,"Portland, OR",45.52,-122.6819,40932,Fly,Work Trip to Cedar Rapids,
46,19,1,"Cedar Rapids, IA",41.9831,-91.6686,40934,Fly,N/A,
47,20,1,"Portland, OR",45.52,-122.6819,40956,Fly,Visit Lori,
48,20,1,"Los Angeles, CA",34.05,-118.25,40959,Fly,N/A,
49,21,1,"Portland, OR",45.52,-122.6819,41004,Fly,Work Trip to Reno,
50,21,1,"Reno, NV",39.5272,-119.8219,41004,Fly,N/A,
51,22,1,"Portland, OR",45.52,-122.6819,41039,Fly,Moving to DC,
52,23,1,"Washington, DC",38.9047,-77.0164,41133,Fly,Moving to Boston,
53,24,1,"Boston, MA",42.3601,-71.0589,41145,Fly,Visit Trevor,
54,24,1,"Chicago, IL",41.8369,-87.6847,41147,Fly,N/A,
55,25,1,"Boston, MA",42.3601,-71.0589,41273,Bus,New Years,GPX4
56,25,1,"New York, NY",40.7127,-74.0059,41276,Bus,N/A,GPX4
57,26,1,"Boston, MA",42.3601,-71.0589,41340,Fly,Better Buildings Case Competition,
58,26,1,"Washington, DC",38.9047,-77.0164,41343,Fly,N/A,
59,27,1,"Boston, MA",42.3601,-71.0589,41720,Bus,Visit NYC??????,GPX4
60,27,1,"New York, NY",40.7127,-74.0059,41720,Bus,N/A,GPX4
61,28,1,"Boston, MA",42.3601,-71.0589,41427,Fly,Moving to San Francisco,
62,29,1,"San Francisco, CA",37.7833,-122.4167,41445,Fly,Rick's Wedding,
63,29,1,"Portland, OR",45.52,-122.6819,41448,Fly,N/A,
64,30,1,"San Francisco, CA",37.7833,-122.4167,41488,Fly,Visit Portland,
65,30,1,"Portland, OR",45.52,-122.6819,41490,Fly,N/A,
66,31,1,"San Francisco, CA",37.7833,-122.4167,41503,Fly,Visit Lori and Move Back to Boston,
67,31,1,"Los Angeles, CA",34.05,-118.25,41505,Fly,N/A,
68,32,1,"Boston, MA",42.3601,-71.0589,41638,Fly,New Years,
69,32,1,"Washington, DC",38.9047,-77.0164,41641,Fly,N/A,
70,33,1,"Boston, MA",42.3601,-71.0589,41647,Fly,Thesis Research,
71,33,1,"Portland, OR",45.52,-122.6819,41651,Drive,N/A,GPX5
72,33,1,"Seattle, WA",47.6097,-122.3331,41652,Drive,N/A,GPX5
73,33,1,"Portland, OR",45.52,-122.6819,41654,Fly,N/A,
74,34,1,"Boston, MA",42.3601,-71.0589,41656,Drive,Ski Weekend,GPX6
75,34,1,"Sugarloaf, ME",45.0314,-70.3131,41659,Drive,N/A,GPX6
76,35,1,"Boston, MA",42.3601,-71.0589,41702,Fly,Benham Trip,
77,35,0,"Charlotte, NC",35.2269,-80.8433,41702,Drive,N/A,GPX7
78,35,1,"Benham, KY",36.9647,-82.9536,41703,Drive,N/A,GPX8
79,35,0,"Covington, KY",39.043931,-84.662477,41703,Fly,N/A,
80,36,1,"Boston, MA",42.3601,-71.0589,41741,Fly,Benham Trip,
81,36,0,"Covington, KY",39.043931,-84.662477,41741,Drive,N/A,GPX9
82,36,1,"Whitesburg, KY",N/A,N/A,41742,Drive,N/A,GPX10
83,36,1,"Benham, KY",36.9647,-82.9536,41742,Drive,N/A,GPX10
84,36,0,"Whitesburg, KY",N/A,N/A,42108,Drive,N/A,GPX9
85,81,0,"Covington, KY",39.043931,-84.662477,41744,Fly,N/A,
86,37,1,"Boston, MA",42.3601,-71.0589,41807,Drive,Cape Cod Century,GPX11
87,37,1,"Brewster, MA",41.76,-70.0833,41808,Drive,N/A,
88,37,0,Biking,N/A,N/A,41808,Bike,N/A,
89,37,0,"Brewster, MA",41.76,-70.0833,41808,Drive,N/A,GPX11
90,38,1,"Boston, MA",42.3601,-71.0589,41814,Bus,Post-DUSP Trip,GPX4
91,38,1,"New York, NY",40.7127,-74.0059,41816,Bus,N/A,GPX12
92,38,1,"Baltimore, MD",39.2833,-76.6167,41817,Train,N/A,GPX13
93,38,1,"Washington, DC",38.9047,-77.0164,41819,Train,N/A,GPX14
94,38,1,"Chicago, IL",41.8369,-87.6847,41821,Train,N/A,GPX15
95,38,1,"Portland, OR",45.52,-122.6819,41826,N/A,N/A,N/A
96,38,0,Cannon Beach Day Trip,N/A,N/A,41826,Drive,N/A,GPX17
97,38,0,"Portland, OR",45.52,-122.6819,41827,Train,N/A,GPX16
98,38,0,"San Francisco, CA",37.7833,-122.4167,41827,N/A,N/A,N/A
99,38,0,Mt Diablo Day Trip,N/A,N/A,42193,Drive,N/A,GPX18
100,38,1,"San Francisco, CA",37.7833,-122.4167,41830,Fly,N/A,
101,39,1,"Boston, MA",42.3601,-71.0589,41851,Fly,Juan Bachelor Party & Beach Trip,
102,39,1,"Los Angeles, CA",34.05,-118.25,41852,Drive,N/A,GPX19
103,39,1,"San Diego, CA",32.715,-117.1625,41854,Fly,N/A,
104,39,1,"Wilmington, NC",34.2233,-77.9122,41860,Fly,N/A,
105,40,1,"Boston, MA",42.3601,-71.0589,41893,Fly,Lori & Juan Wedding,
106,40,1,"Los Angeles, CA",34.05,-118.25,41896,Fly,N/A,
107,41,1,"Boston, MA",42.3601,-71.0589,41898,Fly,Work Trip to Fort Myers,
108,41,1,"Fort Myers, FL",26.6167,-81.8333,41898,Fly,N/A,
109,42,1,"Boston, MA",42.3601,-71.0589,41905,Fly,Work Trip to Des Moines,
110,42,1,"Des Moines, IA",41.5908,-93.6208,41907,Fly,N/A,
111,43,1,"Boston, MA",42.3601,-71.0589,41917,Fly,Work Trip to Torrance,
112,43,1,"Los Angeles, CA",34.05,-118.25,41919,Fly,N/A,
113,44,1,"Boston, MA",42.3601,-71.0589,41932,Fly,Work Trip to Dallas,
114,44,1,"Dallas, TX",32.7767,-96.797,41933,Fly,N/A,
115,45,1,"Boston, MA",42.3601,-71.0589,41924,Bus,Visit NYC and Work Trip to Syracuse,GPX4
116,45,1,"New York, NY",40.7127,-74.0059,41925,Fly,N/A,
117,45,1,"Syracuse, NY",43.0469,-76.1444,41926,Fly,N/A,
118,46,1,"Boston, MA",42.3601,-71.0589,42294,Fly,Lisa & Will Wedding,
119,46,1,"Washington, DC",38.9047,-77.0164,42296,Fly,N/A,
120,47,1,"Boston, MA",42.3601,-71.0589,41977,Fly,Work Trip to Tybee Island,
121,47,0,"Savannah, GA",32.0167,-81.1167,41977,Drive,N/A,GPX20
122,47,1,"Tybee Island, GA",N/A,N/A,41978,Drive,N/A,GPX20
123,47,0,"Savannah, GA",32.0167,-81.1167,41978,Fly,N/A,
124,48,1,"Boston, MA",42.3601,-71.0589,41983,Fly,Work Trip to Dallas,
125,48,1,"Dallas, TX",32.7767,-96.797,41984,Fly,N/A,
126,49,1,"Boston, MA",42.3601,-71.0589,41986,Drive,Family Trip to Portsmouth,GPX21
127,49,1,"Portsmouth, NH",43.0756,-70.7606,41987,Drive,N/A,GPX21
128,50,1,"Boston, MA",42.3601,-71.0589,42003,Bus,New Years,GPX4
129,50,1,"New York, NY",40.7127,-74.0059,42006,Bus,N/A,GPX4
130,51,1,"Boston, MA",42.3601,-71.0589,?????,Drive,Ski Trip,GPX22
131,51,1,"North Conway, NH",44.0531,-71.1281,?????,Drive,N/A,GPX22
132,52,1,"Boston, MA",42.3601,-71.0589,42041,Fly,NOLA with Lori and Juan & Snow Refugee,
133,52,1,"New Orleans, LA",29.95,-90.0667,42043,Fly,N/A,
134,52,1,"Washington, DC",38.9047,-77.0164,42045,Fly,N/A,
135,53,1,"Boston, MA",42.3601,-71.0589,42048,Drive,Maine Weekend,GPX23
136,53,1,"Exeter, ME",44.9619,-69.1222,42050,Drive,N/A,GPX23
137,54,1,"Boston, MA",42.3601,-71.0589,42059,Fly,Work Trip to Savannah,
138,54,1,"Savannah, GA",32.0167,-81.1167,42060,Fly,N/A,
139,55,1,"Boston, MA",42.3601,-71.0589,42068,Fly,Failed Work Trip to Cincinnati,
140,55,1,"Newark, NJ",40.7242,-74.1726,42069,Fly,N/A,
141,56,1,"Boston, MA",42.3601,-71.0589,42081,Fly,Work Trip to Philadelphia,
142,56,1,"Philadelphia, PA",39.95,-75.1667,42082,Fly,N/A,
143,57,1,"Boston, MA",42.3601,-71.0589,42115,Drive,Work Trip to Milan (New York),GPX24
144,57,1,"Milan, NY",41.9533,-73.7919,42116,Drive,N/A,GPX24
145,58,1,"Boston, MA",42.3601,-71.0589,42139,Train,Bike Ride to Maine,GPX25
146,58,0,"Newburyport, MA",N/A,N/A,42139,Bike,N/A,
147,58,1,"York, ME",43.1633,-70.6486,42140,Bike,N/A,
148,58,1,"Portland, ME",43.6667,-70.2667,42141,Train,N/A,GPX26
149,59,1,"Boston, MA",42.3601,-71.0589,42150,Fly,Work Trip to Nebraska,
150,59,0,"Omaha, NE",41.25,-96,42150,Drive,N/A,GPX27
151,59,1,"Fremont, NE",41.4397,-96.49,42151,Drive,N/A,GPX28
152,59,1,"Lincoln, NE",N/A,N/A,42151,Drive,N/A,GPX29
153,59,0,"Omaha, NE",41.25,-96,42152,Fly,N/A,
154,60,1,"Boston, MA",42.3601,-71.0589,42129,Fly,Work Trip to Western New York,
155,60,1,"Buffalo, NY",42.9047,-78.8494,42130,Drive,N/A,GPX30
156,60,1,"Houghton, NY",42.4333,-78.15,42130,Drive,N/A,GPX31
157,60,1,"Dunkirk, NY",42.4794,-79.3339,42131,Drive,N/A,GPX32
158,60,1,"Buffalo, NY",42.9047,-78.8494,42132,Fly,N/A,
159,61,1,"Boston, MA",42.3601,-71.0589,42182,Drive,Fourth of July Trip,GPX33
160,61,1,"Morrisville, VT",44.5617,-72.5983,42183,Drive,N/A,GPX34
161,61,0,Vermont Drive,N/A,N/A,42184,Drive,N/A,GPX35
162,61,1,"Montreal, QB",45.5017,-73.5673,42186,Drive,N/A,GPX36
163,61,0,Weld Biking,N/A,N/A,42187,Bike,N/A,
164,61,1,"Weld, ME",44.6986,-70.4214,42187,Drive,N/A,GPX37
165,61,1,"Rome, ME",44.585,-69.8692,42190,Drive,N/A,GPX38
166,62,1,"Boston, MA",42.3601,-71.0589,42196,Drive,New Hampshire Bike Trip,GPX39
167,62,0,Lebanon Biking,N/A,N/A,42197,Bike,N/A,
168,62,1,"Lebanon, NH",43.6422,-72.2517,42197,Drive,N/A,GPX39
169,63,1,"Boston, MA",42.3601,-71.0589,42209,Drive,Maine Coast Trip,GPX40
170,63,1,"Camden, ME",44.2097,-69.0647,42942,Drive,N/A,GPX40
171,64,1,"Boston, MA",42.3601,-71.0589,42200,Fly,Work Trip to Atlantic City,
172,64,0,"Philadelphia, PA",39.95,-75.1667,42200,Drive,N/A,GPX41
173,64,1,"Atlantic City, NJ",39.3773,-74.4511,42201,Drive,N/A,GPX41
174,64,0,"Philadelphia, PA",39.95,-75.1667,42201,Fly,N/A,
175,65,1,"Boston, MA",42.3601,-71.0589,42221,Drive,"Work Trip to Geneva, NY & Bike Ride",GPX42
176,65,1,"Geneva, NY",42.8789,-76.9931,42223,Drive,N/A,GPX43
177,65,0,Finger Lakes Biking,N/A,N/A,42224,Bike,N/A,
178,65,1,"Seneca Falls, NY",42.9086,-76.7981,42225,Drive,N/A,GPX44
179,66,1,"Boston, MA",42.3601,-71.0589,42235,Fly,Greg + Elena Wedding & Work Trip to Jekyll Island,
180,66,1,"Los Angeles, CA",34.05,-118.25,42237,Train,N/A,GPX45
181,66,0,"San Diego, CA",32.715,-117.1625,N/A,N/A,N/A,
182,66,0,"Tijuana, MX",32.525,-117.0333,42238,Drive,N/A,GPX53
183,66,1,"San Diego, CA",32.715,-117.1625,42240,Fly,N/A,
184,67,1,"Boston, MA",42.3601,-71.0589,42241,Fly,Work Trip to Jekyll Island,
185,67,0,"Savannah, GA",32.0167,-81.1167,42241,Drive,N/A,GPX46
186,67,1,"Jekyll Island, GA",31.068785,-81.415146,42242,Drive,N/A,GPX46
187,67,0,"Savannah, GA",32.0167,-81.1167,42242,Fly,N/A,
188,68,1,"Boston, MA",42.3601,-71.0589,42251,Drive,Brillstein Wedding,GPX47
189,68,1,"York, ME",43.1633,-70.6486,42253,Drive,N/A,GPX47
190,69,1,"Boston, MA",42.3601,-71.0589,42258,Drive,Pumpkinman,GPX48
191,69,1,"South Berwick, ME",43.2344,-70.8094,42260,Drive,N/A,GPX48
192,70,1,"Boston, MA",42.3601,-71.0589,42281,Drive,Work Trip to Hudson Valley,GPX49
193,70,1,"Albany, NY",42.6525,-73.7572,42282,Drive,N/A,GPX50
194,70,1,"Lake George, NY",43.4244,-73.7153,42283,Drive,N/A,GPX51
195,70,1,"Plattsburg, NY",44.6953,-73.4583,42283,Drive,N/A,GPX52
196,71,1,"Boston, MA",42.3601,-71.0589,42292,Fly,Monica's Dad's Wedding + Work Trip to Washington,
197,71,1,"San Diego, CA",32.715,-117.1625,42296,Fly,N/A,
198,71,1,"Washington, DC",38.9047,-77.0164,42298,Fly,N/A,
199,72,1,"Boston, MA",42.3601,-71.0589,42304,Fly,Work Trip to Philadelphia,
200,72,1,"Philadelphia, PA",39.95,-75.1667,42306,Fly,N/A,
201,73,1,"Boston, MA",42.3601,-71.0589,42313,Drive,"Work Trip to Malta, NY & Stop in Great Barrington",GPX54
202,73,1,"Malta, NY",42.9667,-73.8,42314,Drive,N/A,GPX55
203,73,1,"Great Barrington, MA",42.1958,-73.3625,42315,Drive,N/A,GPX56
204,74,1,"Boston, MA",42.3601,-71.0589,42321,Drive,DUSP Reunion,GPX57
205,74,1,"Hancock, MA",42.5431,-73.3242,42323,Drive,N/A,GPX57
